A: Ar
S: fcc
a: 5.27
N: 555 [500]
true: -40.498009
init: 142066.108912
----------------------------------------------
 cg  0: 24113.869897
 cg  1: 12197.458443
 cg  2: 6726.096577
 cg  3: 3877.061084
 cg  4: 2264.502948
 cg  5: 1319.357369
 cg  6: 757.985295
 cg  7: 426.525702
 cg  8: 226.093470
 cg  9: 114.743435
 cg 10: 49.934249
 cg 11: 13.490517
 cg 12: -6.559946
 cg 13: -17.871268
 cg 14: -24.896561
 cg 15: -29.349196
 cg 16: -32.295092
 cg 17: -34.380681
 cg 18: -35.818649
 cg 19: -36.968178
 cg 20: -37.876920
 cg 21: -38.536365
 cg 22: -39.022459
 cg 23: -39.383644
 cg 24: -39.645426
 cg 25: -39.841359
 cg 26: -39.998167
 cg 27: -40.116794
 cg 28: -40.206730
 cg 29: -40.276076
 cg 30: -40.328142
 cg 31: -40.366914
 cg 32: -40.396894
 cg 33: -40.420328
 cg 34: -40.438193
 cg 35: -40.451710
 cg 36: -40.462261
 cg 37: -40.470731
 cg 38: -40.477374
 cg 39: -40.482325
 cg 40: -40.486008
 cg 41: -40.488853
 cg 42: -40.491018
 cg 43: -40.492642
 cg 44: -40.493877
 cg 45: -40.494843
 cg 46: -40.495611
 cg 47: -40.496186
 cg 48: -40.496616
 cg 49: -40.496940
 cg 50: -40.497198
 cg 51: -40.497395
 cg 52: -40.497544
 cg 53: -40.497656
 cg 54: -40.497740
 cg 55: -40.497803
 cg 56: -40.497853
 cg 57: -40.497888
 cg 58: -40.497916
 cg 59: -40.497938
 cg 60: -40.497954
 cg 61: -40.497967
 cg 62: -40.497976
 cg 63: -40.497984
 cg 64: -40.497990
 cg 65: -40.497994
 cg 66: -40.497997
 cg 67: -40.498000
 cg 68: -40.498002
 cg 69: -40.498004
 cg 70: -40.498005
 cg 71: -40.498006
 cg 72: -40.498006
 cg 73: -40.498007
 cg 74: -40.498007
----------------------------------------------
conv: -40.498007
