A: Ar
S: fcc
a: 5.27
N: 555 [500]
true: -40.498009
init: 142066.108912
----------------------------------------------
 sd  0: 24113.869897
 sd  1: 12198.552313
 sd  2: 6594.238412
 sd  3: 3674.554282
 sd  4: 2054.944782
 sd  5: 1129.742908
 sd  6: 609.875394
 sd  7: 310.971404
 sd  8: 146.683039
 sd  9: 58.791995
 sd 10: 14.860245
 sd 11: 1.363143
 sd 12: -10.630900
 sd 13: -14.799629
 sd 14: -22.579335
 sd 15: -23.635623
 sd 16: -24.504175
 sd 17: -26.759720
 sd 18: -29.211233
 sd 19: -29.831021
 sd 20: -30.819332
 sd 21: -31.706593
 sd 22: -33.618411
 sd 23: -34.455589
 sd 24: -34.935438
 sd 25: -35.359775
 sd 26: -36.717711
 sd 27: -37.053105
 sd 28: -37.925389
 sd 29: -38.480523
 sd 30: -39.293662
 sd 31: -39.613866
 sd 32: -39.969588
 sd 33: -40.167928
 sd 34: -40.328712
 sd 35: -40.404763
 sd 36: -40.452531
 sd 37: -40.471086
 sd 38: -40.481006
 sd 39: -40.486401
 sd 40: -40.489697
 sd 41: -40.491860
 sd 42: -40.493328
 sd 43: -40.494377
 sd 44: -40.495182
 sd 45: -40.495778
 sd 46: -40.496267
 sd 47: -40.496636
 sd 48: -40.496924
 sd 49: -40.497155
 sd 50: -40.497361
 sd 51: -40.497491
 sd 52: -40.497598
 sd 53: -40.497694
 sd 54: -40.497767
 sd 55: -40.497816
 sd 56: -40.497857
 sd 57: -40.497884
 sd 58: -40.497909
 sd 59: -40.497927
 sd 60: -40.497943
 sd 61: -40.497968
 sd 62: -40.495808
 sd 63: -40.497496
 sd 64: -40.497907
 sd 65: -40.497964
 sd 66: -40.497854
 sd 67: -40.497999
 sd 68: -40.498007
 sd 69: -40.498008
 sd 70: -40.498008
----------------------------------------------
conv: -40.498008
