A: Si
S: dia
a: 5.43
N: 333 [216]
true: -1000.168417
init: -940.777235
----------------------------------------------
 sd  0: -967.826226
 sd  1: -993.025877
 sd  2: -997.855636
 sd  3: -998.898178
 sd  4: -999.303865
 sd  5: -999.545009
 sd  6: -999.679230
 sd  7: -999.803176
 sd  8: -999.872627
 sd  9: -999.946375
 sd 10: -999.985788
 sd 11: -1000.030723
 sd 12: -1000.053697
 sd 13: -1000.081305
 sd 14: -1000.094917
 sd 15: -1000.112015
 sd 16: -1000.120217
 sd 17: -1000.130939
 sd 18: -1000.135989
 sd 19: -1000.142801
 sd 20: -1000.145986
 sd 21: -1000.150419
 sd 22: -1000.152485
 sd 23: -1000.155441
 sd 24: -1000.156827
 sd 25: -1000.158847
 sd 26: -1000.159801
 sd 27: -1000.161220
 sd 28: -1000.161896
 sd 29: -1000.162922
 sd 30: -1000.163416
 sd 31: -1000.164173
 sd 32: -1000.164540
 sd 33: -1000.165105
 sd 34: -1000.165380
 sd 35: -1000.165813
 sd 36: -1000.166023
 sd 37: -1000.166363
 sd 38: -1000.166526
 sd 39: -1000.166791
 sd 40: -1000.166918
 sd 41: -1000.167127
 sd 42: -1000.167227
 sd 43: -1000.167390
 sd 44: -1000.167470
 sd 45: -1000.167598
 sd 46: -1000.167661
 sd 47: -1000.167759
 sd 48: -1000.167808
 sd 49: -1000.167888
 sd 50: -1000.167926
 sd 51: -1000.167992
 sd 52: -1000.168023
 sd 53: -1000.168074
 sd 54: -1000.168098
 sd 55: -1000.168140
 sd 56: -1000.168160
 sd 57: -1000.168192
 sd 58: -1000.168208
 sd 59: -1000.168234
 sd 60: -1000.168246
 sd 61: -1000.168269
 sd 62: -1000.168280
 sd 63: -1000.168297
 sd 64: -1000.168306
----------------------------------------------
conv: -1000.168306
